Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,RS_ratio,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_cm,SeedHead,PhaseNum
1,East,12,A,Short,Control,Mix,Fes,FesMix,33.29,113.44,NA,23.280363,178.923707,30.4,90,0,2
1,East,12,B,Short,Control,Mix,Rye,RyeMix,34.38,113.44,NA,24.62816,207.566749,35.35,100,0,2
1,East,12,C,Short,Control,Mix,Pha,PhaMix,28.53,113.44,NA,28.206061,201.793168,24.9,210,0,2
1,East,13,A,Short,Control,Pha,Pha,PhaPha,54.8,31.35,0.572080292,28.627942,203.325841,30.85,220,0,2
1,East,14,A,Short,Control,Fes,Fes,FesFes,46.55,54.51,1.170998926,22.811982,178.193258,42.85,90,0,2
1,East,15,A,Short,Control,Fes,Fes,FesFes,36.05,46.5,1.289875173,24.060976,175.627557,32.15,90,0,2
1,East,16,A,Short,Control,Mix,Fes,FesMix,30.18,114.98,NA,22.159635,175.380681,28.95,100,0,2
1,East,16,B,Short,Control,Mix,Rye,RyeMix,41.61,114.98,NA,22.226053,182.969193,35.3,90,0,2
1,East,16,C,Short,Control,Mix,Pha,PhaMix,22.22,114.98,NA,29.056328,200.513864,22.45,160,0,2
1,West,1,A,Long,Recovery,Pha,Pha,PhaPha,22.99,30.6,1.331013484,27.81649581,190.4882239,44.65,175,0,1
1,West,2,A,Long,Recovery,Mix,Rye,RyeMix,10.37,38.86,NA,28.91534555,186.0691671,46.85,105,0,1
1,West,2,B,Long,Recovery,Mix,Pha,PhaMix,6.98,38.86,NA,28.78502733,226.7561983,46.45,260,0,1
1,West,2,C,Long,Recovery,Mix,Fes,FesMix,22.39,38.86,NA,21.69769535,182.129278,45.95,100,0,1
1,West,3,A,Long,Resistance,Pha,Pha,PhaPha,5.59,6.01,1.075134168,23.60342377,217.5609756,41.85,70,0,0
1,West,4,A,Long,Recovery,Rye,Rye,RyeRye,12.9,28.83,2.234883721,29.9016,208.4939759,55.2,95,0,1
1,West,5,A,Long,Resistance,Pha,Pha,PhaPha,5.84,6.48,1.109589041,27.45924924,227.7777778,39.5,70,0,0
1,West,6,A,Long,Recovery,Fes,Fes,FesFes,17.43,23.69,1.359150889,19.97397746,213.9244972,37.25,90,0,1
1,West,7,A,Long,Recovery,Mix,Fes,FesMix,17.91,32.88,NA,22.68874896,193.0775937,39.45,60,0,1
1,West,7,B,Long,Recovery,Mix,Pha,PhaMix,6.41,32.88,NA,26.30266374,235.988024,39.8,140,0,1
1,West,7,C,Long,Recovery,Mix,Rye,RyeMix,14.44,32.88,NA,28.7143758,214.7742818,43.4,95,0,1
1,West,8,A,Long,Resistance,Rye,Rye,RyeRye,16.97,29.04,1.711255156,26.53934146,226.5057471,36.2,80,0,0
1,West,9,A,Long,Resistance,Rye,Rye,RyeRye,13.63,26.1,1.914893617,24.31666425,201.9512195,37.75,90,0,0
1,West,10,A,Long,Recovery,Fes,Fes,FesFes,15.73,30.64,1.947870312,18.61610821,209.0840084,35,70,0,1
1,West,11,A,Long,Resistance,Mix,Fes,FesMix,5.6,12.22,NA,20.67464404,217.1314741,26.9,60,0,0
1,West,11,B,Long,Resistance,Mix,Rye,RyeMix,4.49,12.22,NA,28.8995463,196.3636364,40.5,30,0,0
1,West,11,C,Long,Resistance,Mix,Pha,PhaMix,3.86,12.22,NA,32.15883444,231.1392405,NA,55,0,0
1,West,12,A,Long,Resistance,Fes,Fes,FesFes,13.94,9.61,0.68938307,16.90050529,252.5222552,31.45,60,0,0
1,West,13,A,Long,Recovery,Rye,Rye,RyeRye,16.65,39.62,2.37957958,30.44144444,217.776536,40.7,105,0,1
1,West,14,A,Long,Resistance,Mix,Pha,PhaMix,3.12,15.56,NA,27.53630323,222.4880383,45.1,65,0,0
1,West,14,B,Long,Resistance,Mix,Rye,RyeMix,6.31,15.56,NA,26.61631,202.020202,36.05,35,0,0
1,West,14,C,Long,Resistance,Mix,Fes,FesMix,4.06,15.56,NA,21.11714209,219.4117647,38.4,30,0,0
1,West,15,A,Long,Recovery,Pha,Pha,PhaPha,28.06,29.58,1.054169636,28.50735288,176.7143934,42.95,240,2,1
1,West,16,A,Long,Resistance,Fes,Fes,FesFes,12.01,7.27,0.605328893,12.59258402,286.7272727,30.7,55,0,0
2,East,1,A,Long,Control,Rye,Rye,RyeRye,56.49,77.8585,1.37827049,23.591819,199.721963,28.1,90,23,2
2,East,2,A,Long,Control,Fes,Fes,FesFes,58.29,68.366,1.172859839,23.34636,174.922482,26.7,80,3,2
2,East,3,A,Long,Control,Mix,Fes,FesMix,32.96,143.019,NA,22.558597,189.497246,25.4,90,3,2
2,East,3,B,Long,Control,Mix,Rye,RyeMix,20.62,143.019,NA,23.943359,179.583546,32.7,110,0,2
2,East,3,C,Long,Control,Mix,Pha,PhaMix,26.14,143.019,NA,29.521609,199.393381,21.2,150,0,2
2,East,4,A,Long,Control,Fes,Fes,FesFes,66.14,75.114,1.135681887,22.290242,175.755973,29.2,80,16,2
2,East,5,A,Long,Control,Fes,Fes,FesFes,56.03,65.2095,1.163831876,23.321502,174.485262,23.65,90,10,2
2,East,6,A,Long,Control,Fes,Fes,FesFes,46.37,65.886,1.420875566,23.074732,170.297962,26.3,90,6,2
2,East,7,A,Long,Control,Rye,Rye,RyeRye,61.3,98.412,1.605415987,22.961841,186.755269,24.6,110,1,2
2,East,8,A,Long,Control,Mix,Pha,PhaMix,28.02,99.783,NA,30.504599,195.528223,27.15,170,4,2
2,East,8,B,Long,Control,Mix,Rye,RyeMix,16.54,99.783,NA,21.123512,204.649065,28.75,100,0,2
2,East,8,C,Long,Control,Mix,Fes,FesMix,21.67,99.783,NA,23.800956,189.45764,27.65,80,3,2
2,East,9,A,Long,Control,Mix,Fes,FesMix,21.03,90.6105,NA,23.713923,187.282858,21.35,80,0,2
