"","Date","UID","Treatment","Spp","Shelter","Rep","sRep","Side","gs.max","VPD.kpa.max","SoilM"
"246",2018-06-29,"3x-Phal","Double","Phal",6,13,"A","West",439.3,1.36347450881899,0.073
"247",2018-07-18,"1l-Phal","Long","Phal",1,15,"A","West",416,1.88641003387905,0.055
"248",2018-07-18,"1s-Phal","Short","Phal",2,1,"A","West",257.7,1.50880756847817,0.047
"249",2018-07-18,"1x-Phal","Double","Phal",3,11,"A","West",298.8,1.85362455072391,0.066
"250",2018-07-18,"2l-Phal","Long","Phal",4,11,"A","West",423,1.32379608278793,0.069
"251",2018-07-18,"2s-Phal","Short","Phal",4,10,"A","East",340.1,1.41960945983983,0.048
"252",2018-07-18,"2x-Phal","Double","Phal",5,7,"A","West",265.8,2.51592434040011,0.058
"253",2018-07-18,"3l-Phal","Long","Phal",6,7,"A","East",239.5,2.11485601963321,0.043
"254",2018-07-18,"3s-Phal","Short","Phal",5,1,"A","East",243.8,1.91647063830311,0.043
"255",2018-07-18,"3x-Phal","Double","Phal",6,13,"A","West",269.1,1.57670919182784,0.054
"256",2018-07-26,"1l-Phal","Long","Phal",1,15,"A","West",383.8,1.69955404176486,0.048
"257",2018-07-26,"1s-Phal","Short","Phal",2,1,"A","West",338.5,2.49551081992317,0.038
"258",2018-07-26,"1x-Phal","Double","Phal",3,11,"A","West",487.5,1.35015567795409,0.056
"259",2018-07-26,"2l-Phal","Long","Phal",4,11,"A","West",433.2,1.69107743829335,0.06
"260",2018-07-26,"2s-Phal","Short","Phal",4,10,"A","East",315.1,1.05208148122818,0.039
"261",2018-07-26,"2x-Phal","Double","Phal",5,7,"A","West",403.5,1.41631792601204,0.051
"262",2018-07-26,"3l-Phal","Long","Phal",6,7,"A","East",485.6,1.03297395243343,0.039
"263",2018-07-26,"3s-Phal","Short","Phal",5,1,"A","East",498.9,1.40971421379336,0.039
"264",2018-07-26,"3x-Phal","Double","Phal",6,13,"A","West",472.3,1.94605841249949,0.0465
"265",2018-08-03,"1l-Phal","Long","Phal",1,15,"A","West",335.9,1.9074081441533,0.043
"266",2018-08-03,"1s-Phal","Short","Phal",2,1,"A","West",409.5,1.64002239911353,0.035
"267",2018-08-03,"1x-Phal","Double","Phal",3,11,"A","West",174.2,2.91918079661223,0.049
"268",2018-08-03,"2l-Phal","Long","Phal",4,11,"A","West",300.3,2.20918657498266,0.054
"269",2018-08-03,"2s-Phal","Short","Phal",4,10,"A","East",278.8,1.50914432325644,0.035
"270",2018-08-03,"2x-Phal","Double","Phal",5,7,"A","West",304.6,1.55859626884165,0.048
"271",2018-08-03,"3l-Phal","Long","Phal",6,7,"A","East",299.7,1.70567721921502,0.038
"272",2018-08-03,"3s-Phal","Short","Phal",5,1,"A","East",243,1.57638484998223,0.038
"273",2018-08-03,"3x-Phal","Double","Phal",6,13,"A","West",209.7,2.07516199383692,0.0435
"274",2018-08-09,"1l-Phal","Long","Phal",1,15,"A","West",174.6,2.10086309496085,0.038
